feature,importance
grade,0.29441723
quality_grade_condition,0.13963377
lat,0.10663211
sqft_living_log,0.106254175
sqft_living,0.0950749
waterfront,0.060848393
view,0.034387354
sqft_living15,0.01659548
property_age,0.012998565
long,0.010903438
year,0.010819779
zipcode,0.009422895
sqft_above,0.00877398
yr_built,0.008603104
quality_score,0.008314331
sqft_per_lot,0.007772783
was_renovated,0.007476751
yr_renovated,0.007350812
bathrooms,0.0063750274
sqft_lot_log,0.006244766
sqft_lot,0.0050046677
ndwi_max_500m,0.0041449387
ndwi_mean_500m,0.004021094
sqft_lot15,0.0038885905
floors,0.0033201827
ndbi_mean_500m,0.003142621
bedrooms_per_bathroom,0.002855645
total_rooms,0.002811001
month,0.0026152895
ndvi_mean_500m,0.0025874095
ndvi_max_500m,0.0024950742
years_since_renovation,0.0021674414
season,0.0020464049
